divipola,municipio,departamento,fuente
18460,MILÁN,CAQUETÁ,sala_crisis
18479,MORELIA,CAQUETÁ,sala_crisis
18756,SOLANO,CAQUETÁ,sala_crisis
18785,SOLITA,CAQUETÁ,sala_crisis
19212,CORINTO,CAUCA,sala_crisis
19473,MORALES,CAUCA,sala_crisis
76246,EL CAIRO,VALLE DEL CAUCA,sala_crisis
76403,LA VICTORIA,VALLE DEL CAUCA,sala_crisis
86757,SAN MIGUEL,PUTUMAYO,sala_crisis
52585,PUPIALES,NARIÑO,sala_crisis
52210,CONTADERO,NARIÑO,sala_crisis
52036,ANCUYA,NARIÑO,sala_crisis
52506,OSPINA,NARIÑO,sala_crisis
52258,EL TABLÓN DE GÓMEZ,NARIÑO,sala_crisis
52399,LA UNIÓN,NARIÑO,sala_crisis
52323,GUALMATÁN,NARIÑO,sala_crisis
52612,RICAURTE,NARIÑO,sala_crisis
52250,EL CHARCO,NARIÑO,sala_crisis
52473,MOSQUERA,NARIÑO,sala_crisis
52696,SANTA BÁRBARA,NARIÑO,sala_crisis
94001,INÍRIDA,GUAINÍA,sala_crisis
94343,BARRANCOMINAS,GUAINÍA,sala_crisis
94663,MAPIRIPANA,GUAINÍA,sala_crisis
94883,SAN FELIPE,GUAINÍA,sala_crisis
94884,PUERTO COLOMBIA,GUAINÍA,sala_crisis
94885,LA GUADALUPE,GUAINÍA,sala_crisis
94886,CACAHUAL,GUAINÍA,sala_crisis
94887,PANA PANA,GUAINÍA,sala_crisis
94888,MORICHAL,GUAINÍA,sala_crisis
99624,SANTA ROSALÍA,VICHADA,sala_crisis
85315,SÁCAMA,CASANARE,sala_crisis
91263,EL ENCANTO,AMAZONAS,sala_crisis
91405,LA CHORRERA,AMAZONAS,sala_crisis
91407,LA PEDRERA,AMAZONAS,sala_crisis
91430,LA VICTORIA,AMAZONAS,sala_crisis
91460,MIRITÍ - PARANÁ,AMAZONAS,sala_crisis
91536,PUERTO ARICA,AMAZONAS,sala_crisis
91540,PUERTO NARIÑO,AMAZONAS,sala_crisis
91669,PUERTO SANTANDER,AMAZONAS,sala_crisis
91798,TARAPACÁ,AMAZONAS,sala_crisis
97511,PACOA,VAUPÉS,sala_crisis
97666,TARAIRA,VAUPÉS,sala_crisis
97777,PAPUNAHUA,VAUPÉS,sala_crisis
97889,YAVARATÉ,VAUPÉS,sala_crisis
17867,VICTORIA,CALDAS,sala_crisis
17524,PALESTINA,CALDAS,sala_crisis
05004,ABRIAQUÍ,ANTIOQUIA,sala_crisis
05138,CAÑASGORDAS,ANTIOQUIA,sala_crisis
05628,SABANALARGA,ANTIOQUIA,sala_crisis
05576,PUEBLORRICO,ANTIOQUIA,sala_crisis
05364,JARDÍN,ANTIOQUIA,sala_crisis
27160,CÉRTEGUI,CHOCÓ,sala_crisis
27205,CONDOTO,CHOCÓ,sala_crisis
27372,JURADÓ,CHOCÓ,sala_crisis
27600,RÍO QUITO,CHOCÓ,sala_crisis
27660,SAN JOSÉ DEL PALMAR,CHOCÓ,sala_crisis
27745,SIPÍ,CHOCÓ,sala_crisis
27787,TADÓ,CHOCÓ,sala_crisis
27810,UNIÓN PANAMERICANA,CHOCÓ,sala_crisis
23675,SAN BERNARDO DEL VIENTO,CÓRDOBA,sala_crisis
08141,CANDELARIA,ATLÁNTICO,sala_crisis
08520,PALMAR DE VARELA,ATLÁNTICO,sala_crisis
20295,GAMARRA,CESAR,sala_crisis
20310,GONZÁLEZ,CESAR,sala_crisis
20383,LA GLORIA,CESAR,sala_crisis
