COD_MUN,DEPARTAMENTO,MUNICIPIO,TMIN_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91001,Amazonas,Leticia,19.8,6727268
05001,Antioquia,Medellin,7.4,419962
81001,Arauca,Arauca,21.4,6480390
08001,Atlantico,Barranquilla,24.3,165737
13001,Bolivar,Cartagena De Indias,22.6,641599
15001,Boyaca,Tunja,5.0,134508
17001,Caldas,Manizales,3.6,494940
18001,Caqueta,Florencia,4.4,2849167
85001,Casanare,Yopal,12.0,2785982
19001,Cauca,Popayan,3.8,536566
20001,Cesar,Valledupar,-0.1,4760939
27001,Choco,Quibdo,5.2,3935568
11001,Cundinamarca,"Bogota, D.C.",0.2,1817617
23001,Cordoba,Monteria,22.0,3544548
94001,Guainia,Inirida,17.5,17706318
95001,Guaviare,San Jose Del Guaviare,18.9,18731168
41001,Huila,Neiva,6.0,1421612
44001,La Guajira,Riohacha,3.4,3518455
47001,Magdalena,Santa Marta,-0.3,2672070
50001,Meta,Villavicencio,3.0,1441792
52001,Narino,Pasto,2.5,1226326
54001,Norte de Santander,Cucuta,16.8,1277938
86001,Putumayo,Mocoa,5.1,1456603
63001,Quindio,Armenia,13.9,136089
66001,Risaralda,Pereira,0.2,682233
88001,San Andres y Providencia,San Andres,31.5,30340
68001,Santander,Bucaramanga,12.5,172989
70001,Sucre,Sincelejo,22.3,317037
73001,Tolima,Ibague,-2.9,1544466
76001,Valle del Cauca,Cali,3.9,630689
97001,Vaupes,Mitu,18.2,18064548
99001,Vichada,Puerto Carreno,20.9,13250752
